"pers_id","nombre","pergoomet_citations","pergoomet_yearfirst","pergoomet_yearlast","pergoomet_years","pergoomet_citespaper","pergoomet_citesyear","pergoomet_hindex","pergoomet_papers","pergoomet_eindex","pergoomet_awcr","pergoomet_awindex","pergoomet_gindex","pergoomet_hcindex","uniorg_id","uniorg_nombre","tipuniorg_id"
3819,"Diana Elisa Correa Pinilla",15,2018,2023,6,1.88,2.5,2,8,3.0,6.0,2.45,3,3,4277,"Red de Innovación de Cultivos Permanentes",13
3819,"Diana Elisa Correa Pinilla",15,2018,2023,6,1.88,2.5,2,8,3.0,6.0,2.45,3,3,4286,"Centro de Investigación La Libertad",9
3820,"Diana Mayerly Mateus Cagua",115,2010,2015,14,19.17,8.21,4,6,9.75,8.78,2.96,6,4,4221,"Ecologia y agricultura inteligente para la sostenibilidad y competitividad de los sistemas de producción en el trópico",12
3820,"Diana Mayerly Mateus Cagua",115,2010,2015,14,19.17,8.21,4,6,9.75,8.78,2.96,6,4,4286,"Centro de Investigación La Libertad",9
3820,"Diana Mayerly Mateus Cagua",115,2010,2015,14,19.17,8.21,4,6,9.75,8.78,2.96,6,4,4279,"Red de Innovación de Frutales",13
3822,"Jessica Moreno Barragan",5,2021,2021,3,2.5,1.67,2,2,1.0,1.67,1.29,2,2,4275,"Red de Innovación de Raíces y Tubérculos",13
3822,"Jessica Moreno Barragan",5,2021,2021,3,2.5,1.67,2,2,1.0,1.67,1.29,2,2,4286,"Centro de Investigación La Libertad",9
3824,"Eduar Yovany Antolinez Sandoval",35,2018,2023,6,2.33,5.83,3,15,5.0,9.45,3.07,5,4,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3824,"Eduar Yovany Antolinez Sandoval",35,2018,2023,6,2.33,5.83,3,15,5.0,9.45,3.07,5,4,4225,"Innovación Tecnológica de Procesos Agroindustriales para el Desarrollo Rural",12
3824,"Eduar Yovany Antolinez Sandoval",35,2018,2023,6,2.33,5.83,3,15,5.0,9.45,3.07,5,4,4295,"Sede Cimpa",9
3837,"Yuli Stephani Tibocha Ardila",6,2011,2022,13,0.55,0.46,2,11,0.0,1.54,1.24,2,2,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3837,"Yuli Stephani Tibocha Ardila",6,2011,2022,13,0.55,0.46,2,11,0.0,1.54,1.24,2,2,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3837,"Yuli Stephani Tibocha Ardila",6,2011,2022,13,0.55,0.46,2,11,0.0,1.54,1.24,2,2,4286,"Centro de Investigación La Libertad",9
3838,"Oscar Javier Gallo Gordillo",5,2013,2022,11,0.83,0.45,2,6,1.0,1.27,1.13,2,1,4216,"Agricultura de conservación para suelos de tropico bajo",12
3838,"Oscar Javier Gallo Gordillo",5,2013,2022,11,0.83,0.45,2,6,1.0,1.27,1.13,2,1,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3838,"Oscar Javier Gallo Gordillo",5,2013,2022,11,0.83,0.45,2,6,1.0,1.27,1.13,2,1,4286,"Centro de Investigación La Libertad",9
3839,"Bayron Giovanny Obando Enriquez",0,2023,2023,1,0.0,0.0,0,5,0.0,0.0,0.0,0,0,4277,"Red de Innovación de Cultivos Permanentes",13
3839,"Bayron Giovanny Obando Enriquez",0,2023,2023,1,0.0,0.0,0,5,0.0,0.0,0.0,0,0,4298,"Sede Eje Cafetero",9
3842,"Allende Pesca Moreno",10,2019,2023,5,2.0,2.0,2,5,2.0,4.0,2.0,3,2,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3842,"Allende Pesca Moreno",10,2019,2023,5,2.0,2.0,2,5,2.0,4.0,2.0,3,2,4280,"Red de Innovación de Cacao",13
3842,"Allende Pesca Moreno",10,2019,2023,5,2.0,2.0,2,5,2.0,4.0,2.0,3,2,4286,"Centro de Investigación La Libertad",9
3845,"Marcela Lopez Casallas",11,2018,2022,6,1.38,1.83,2,8,2.0,3.58,1.89,3,2,4286,"Centro de Investigación La Libertad",9
3845,"Marcela Lopez Casallas",11,2018,2022,6,1.38,1.83,2,8,2.0,3.58,1.89,3,2,4218,"Bioprospección de Biomoléculas y Microorganismos con Aplicaciones Agropecuarias",12
3845,"Marcela Lopez Casallas",11,2018,2022,6,1.38,1.83,2,8,2.0,3.58,1.89,3,2,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3845,"Marcela Lopez Casallas",11,2018,2022,6,1.38,1.83,2,8,2.0,3.58,1.89,3,2,4216,"Agricultura de conservación para suelos de tropico bajo",12
3849,"Victor Camilo Pulido Blanco",60,1986,2023,38,1.88,1.58,5,32,4.0,11.57,3.4,7,4,4301,"Sede Tunja",9
3849,"Victor Camilo Pulido Blanco",60,1986,2023,38,1.88,1.58,5,32,4.0,11.57,3.4,7,4,4220,"Control biológico de plagas agrícolas",12
3849,"Victor Camilo Pulido Blanco",60,1986,2023,38,1.88,1.58,5,32,4.0,11.57,3.4,7,4,4279,"Red de Innovación de Frutales",13
3850,"William Andres Cardona",275,2012,2023,12,3.53,22.92,10,78,11.45,52.73,7.26,16,9,4293,"Centro de Investigación Tibaitatá",9
3850,"William Andres Cardona",275,2012,2023,12,3.53,22.92,10,78,11.45,52.73,7.26,16,9,4279,"Red de Innovación de Frutales",13
3850,"William Andres Cardona",275,2012,2023,12,3.53,22.92,10,78,11.45,52.73,7.26,16,9,4225,"Innovación Tecnológica de Procesos Agroindustriales para el Desarrollo Rural",12
3851,"Clara Viviana Franco Florez",14,2020,2023,4,2.8,3.5,2,5,2.45,6.17,2.48,3,4,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
