"pers_id","nombre","pergoomet_citations","pergoomet_yearfirst","pergoomet_yearlast","pergoomet_years","pergoomet_citespaper","pergoomet_citesyear","pergoomet_hindex","pergoomet_papers","pergoomet_eindex","pergoomet_awcr","pergoomet_awindex","pergoomet_gindex","pergoomet_hcindex","uniorg_id","uniorg_nombre","tipuniorg_id"
3908,"Juan Ricardo Zambrano Ortiz",8,2014,2023,10,0.62,0.8,2,13,1.41,2.8,1.67,2,2,4230,"Microbiología y Nutrición Animal del Trópico",12
3909,"Yeison David Lopez Gale",45,2012,2022,12,3.46,3.75,5,13,3.74,7.64,2.76,6,3,4292,"Centro de Investigación Palmira",9
3909,"Yeison David Lopez Gale",45,2012,2022,12,3.46,3.75,5,13,3.74,7.64,2.76,6,3,4279,"Red de Innovación de Frutales",13
3909,"Yeison David Lopez Gale",45,2012,2022,12,3.46,3.75,5,13,3.74,7.64,2.76,6,3,4227,"Investigación en frutas del trópico",12
3915,"Jaime Esneider Aguirre Rodriguez",0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,4293,"Centro de Investigación Tibaitatá",9
3915,"Jaime Esneider Aguirre Rodriguez",0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,4279,"Red de Innovación de Frutales",13
3915,"Jaime Esneider Aguirre Rodriguez",0,0,0,0,0.0,0.0,0,1,0.0,0.0,0.0,0,0,4223,"Grupo de análisis espacio-temporal y manejo de fenómenos fitosanitarios",12
3916,"Eliana Neira Rivera",11,2007,2023,17,0.65,0.65,2,17,2.45,3.08,1.76,3,2,4293,"Centro de Investigación Tibaitatá",9
3916,"Eliana Neira Rivera",11,2007,2023,17,0.65,0.65,2,17,2.45,3.08,1.76,3,2,4281,"Red de Innovación de Ganadería y Especies Menores",13
3916,"Eliana Neira Rivera",11,2007,2023,17,0.65,0.65,2,17,2.45,3.08,1.76,3,2,4234,"Reproducción Tropical",12
3920,"Maria Del Valle Rodriguez Pinto",68,2018,2022,6,2.83,11.33,5,24,5.29,15.83,3.98,7,4,4236,"Sistemas agrícolas del trópico (SAT)",12
3920,"Maria Del Valle Rodriguez Pinto",68,2018,2022,6,2.83,11.33,5,24,5.29,15.83,3.98,7,4,4278,"Red de Innovación de Hortalizas y Plantas Aromáticas",13
3920,"Maria Del Valle Rodriguez Pinto",68,2018,2022,6,2.83,11.33,5,24,5.29,15.83,3.98,7,4,4222,"Estudios Socioeconómicos-Corpoica",12
3920,"Maria Del Valle Rodriguez Pinto",68,2018,2022,6,2.83,11.33,5,24,5.29,15.83,3.98,7,4,4294,"Centro de Investigación Turipaná",9
3922,"Ginna Milena Quiroga Cubides",18,2015,2022,9,0.69,2.0,3,26,1.41,4.9,2.21,3,3,4217,"Bioproductos y Bioprocesos Agropecuarios ",12
